City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Kralendijk,BQ,76.98,scattered clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
1,Buchanan,LR,77.05,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
3,Kapaa,US,78.78,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
5,Port Blair,IN,82.44,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
9,Hithadhoo,MV,82.51,scattered clouds,-0.6,73.0833,Scoop Guest House
21,Kavieng,PG,83.73,broken clouds,-2.5744,150.7967,Nusa Island Retreat
26,Saint-Philippe,RE,83.79,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
27,Hobart,AU,80.02,few clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
28,Bengkulu,ID,83.26,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
36,Souillac,MU,79.36,overcast clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
39,Gamba,GA,76.14,few clouds,-2.65,10.0,
44,Santa Isabel,BR,72.7,moderate rain,-23.3156,-46.2214,Chácara Sombra do Altíssimo
45,Thinadhoo,MV,82.74,overcast clouds,0.5333,72.9333,
49,New Norfolk,AU,80.65,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
51,Carnarvon,AU,80.67,clear sky,-24.8667,113.6333,Hospitality Carnarvon
52,Tayu,ID,78.62,overcast clouds,-6.5397,111.0518,Toko pakaian bu is Tayu
63,Champerico,GT,76.03,few clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
64,Rikitea,PF,79.0,few clouds,-23.1203,-134.9692,People ThankYou
71,Avarua,CK,80.65,broken clouds,-21.2078,-159.775,Paradise Inn
73,Imbituba,BR,75.09,broken clouds,-28.24,-48.6703,Praia Hotel Imbituba
74,Butaritari,KI,81.66,moderate rain,3.0707,172.7902,Isles Sunset Lodge
79,Grand Gaube,MU,80.38,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
88,Atuona,PF,78.76,scattered clouds,-9.8,-139.0333,Villa Enata
90,Port Alfred,ZA,73.33,broken clouds,-33.5906,26.891,The Halyards Hotel
91,Kavaratti,IN,77.86,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
93,Vaini,TO,75.36,light rain,-21.2,-175.2,Keleti Beach Resort
95,Flinders,AU,73.8,scattered clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
96,Kaeo,NZ,77.32,overcast clouds,-35.1,173.7833,Bushido Lodge
102,Airai,TL,71.83,broken clouds,-8.9266,125.4092,
