City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kralendijk,BQ,12.15,-68.2667,76.98,83,29,9.22,scattered clouds
1,Buchanan,LR,5.8808,-10.0467,77.05,88,89,5.08,light rain
2,Bluff,NZ,-46.6,168.3333,60.8,67,0,13.67,clear sky
3,Kapaa,US,22.0752,-159.319,78.78,77,40,12.66,scattered clouds
4,Haines Junction,CA,60.7522,-137.5108,37.35,56,43,13.8,scattered clouds
5,Port Blair,IN,11.6667,92.75,82.44,74,40,10.36,scattered clouds
6,Mar Del Plata,AR,-38.0023,-57.5575,63.88,76,40,23.0,scattered clouds
7,Bethel,US,41.3712,-73.414,28.71,83,75,0.0,broken clouds
8,Ponta Do Sol,PT,32.6667,-17.1,63.23,70,8,9.98,clear sky
9,Hithadhoo,MV,-0.6,73.0833,82.51,68,26,14.41,scattered clouds
10,Ribeira Grande,PT,38.5167,-28.7,61.0,83,10,16.71,clear sky
11,Albany,US,42.6001,-73.9662,20.43,78,11,3.24,few clouds
12,Mujiayingzi,CN,42.1167,118.7833,23.54,40,94,6.26,overcast clouds
13,Oshkosh,US,44.0247,-88.5426,30.09,87,100,11.01,mist
14,Barrow,US,71.2906,-156.7887,-27.38,68,0,12.66,clear sky
15,Honiara,SB,-9.4333,159.95,85.26,74,100,7.9,overcast clouds
16,Bredasdorp,ZA,-34.5322,20.0403,66.27,88,11,5.75,few clouds
17,Snezhnogorsk,RU,69.1933,33.2531,2.98,97,41,9.44,scattered clouds
18,Mount Isa,AU,-20.7333,139.5,92.97,31,32,6.91,scattered clouds
19,Bernburg,DE,51.8,11.7333,38.37,76,62,23.51,broken clouds
20,Cherskiy,RU,68.75,161.3,-29.07,100,33,1.45,scattered clouds
21,Kavieng,PG,-2.5744,150.7967,83.73,71,65,2.95,broken clouds
22,Tiksi,RU,71.6872,128.8694,-17.91,98,100,6.55,overcast clouds
23,Anaconda,US,46.1285,-112.9423,29.77,77,11,7.16,few clouds
24,Harnosand,SE,62.6323,17.9379,21.22,89,83,5.84,broken clouds
